outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
task_energy_per_eval_image_J,Model:Batch,2,6,0.20441949197944653,0.03406991532990775,7.009350602804967,1.1606367750745802e-06,0.005220304610276873,0.20213828330786762,0.0044749861961338126,natural logarithm
task_energy_per_eval_image_J,Model:Profile,2,2,0.021525577998600408,0.010762788999300204,2.214274993923556,0.11244919187299453,0.0005497033231853763,0.02598478945084554,0.00030141159421241687,natural logarithm
task_energy_per_eval_image_J,Precision:Batch,2,6,0.6849615850630696,0.11416026417717827,23.486683450141857,5.427618513498571e-20,0.017492011577481165,0.4591426249993419,0.016745170100284347,natural logarithm
task_energy_per_eval_image_J,Precision:Profile,2,2,0.018076611942205424,0.009038305971102712,1.859489663928556,0.15898171198417743,0.0004616263338995529,0.021912571844265687,0.00021334553631605915,natural logarithm
task_energy_per_eval_image_J,Batch:Profile,2,12,0.11679253894325684,0.009732711578604737,2.0023527240918653,0.026852692989267807,0.002982556230756736,0.12644559363141591,0.0014928450344949184,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch,3,6,0.10277795901553964,0.017129659835923274,3.524158787426547,0.0026158030845252842,0.0026246628836041476,0.11298703179925194,0.001879666619103777,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Profile,3,2,0.014719577745553703,0.007359788872776852,1.5141611029080122,0.22301517466973747,0.0003758970283233501,0.01791606380691995,0.00012762687075418337,natural logarithm
task_energy_per_eval_image_J,Model:Batch:Profile,3,12,0.025581424062005746,0.0021317853385004787,0.4385813907307289,0.9458103075697931,0.000653278337966731,0.030730381957175732,0.0,natural logarithm
task_energy_per_eval_image_J,Precision:Batch:Profile,3,12,0.06689348935412254,0.005574457446176878,1.1468571695090366,0.32600836480865664,0.001708273450302595,0.07655824999631544,0.00021872040750941374,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch:Profile,4,12,0.06586002123890398,0.005488335103241999,1.1291388485058829,0.33981124788566397,0.0016818815523763837,0.07546472499887961,0.00019233178512789682,natural logarithm
