outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
throughput_img_s,Device block,0,2,0.0016643003675241128,0.0008321501837620564,3.5959818711033633,0.03070555446401513,1.8826458274383315e-05,0.06136908634816689,1.3591007461647667e-05,natural logarithm
throughput_img_s,Device-by-configuration residual,-1,110,0.02545522293908001,0.0002314111176280001,,,0.0002879478379498535,,,natural logarithm
task_energy_per_eval_image_J,Model,1,1,8.534479014455043,8.534479014455043,26121.320357690372,1.326301437576262e-132,0.3352252094997721,0.9958065397204547,0.33520807424779064,natural logarithm
task_energy_per_eval_image_J,Precision,1,1,4.701691166948553,4.701691166948553,14390.378251182376,1.916969007473742e-118,0.1846774013708437,0.9924139909942673,0.18466219813348367,natural logarithm
task_energy_per_eval_image_J,Batch,1,6,8.41539443311352,1.4025657388522532,4292.806734333483,5.95811830423021e-128,0.33054769448558186,0.9957474512436207,0.33046645311210165,natural logarithm
task_energy_per_eval_image_J,Profile,1,1,2.0094722980542183,2.0094722980542183,6150.354293270259,2.2268670384508882e-98,0.07892992307536036,0.9824291094645798,0.07891607691969267,natural logarithm
task_energy_per_eval_image_J,Model:Precision,2,1,0.8550556346052007,0.8550556346052007,2617.0527945925087,1.5939953903683615e-78,0.033585670989290224,0.9596634138443818,0.0335724067468308,natural logarithm
task_energy_per_eval_image_J,Model:Batch,2,6,0.1568357051783315,0.026139284196388585,80.00401843605425,8.056277887424858e-38,0.006160338790030734,0.8135669407050221,0.00608326035403841,natural logarithm
task_energy_per_eval_image_J,Model:Profile,2,1,0.014062086483457224,0.014062086483457224,43.039565193117824,1.8142972965925482e-09,0.0005523437200368891,0.2812316222854331,0.0005395034018581819,natural logarithm
task_energy_per_eval_image_J,Precision:Batch,2,6,0.4959017644970978,0.08265029408284963,252.9662098575436,6.052911700130262e-62,0.019478491026023243,0.9324240169455993,0.019401241675122433,natural logarithm
task_energy_per_eval_image_J,Precision:Profile,2,1,0.017370152905503127,0.017370152905503127,53.16450224298615,4.991778370958821e-11,0.0006822810316749223,0.3258337537402165,0.000669439045980832,natural logarithm
task_energy_per_eval_image_J,Batch:Profile,2,6,0.022646929089775177,0.003774488181629196,11.552505409136336,5.366905100864709e-10,0.0008895471575696564,0.38655449855986457,0.0008125363628577094,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch,3,6,0.02032925149627747,0.0033882085827129115,10.370226662672431,4.344490694641276e-09,0.0007985112600629347,0.3612871248066615,0.0007215016336355826,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Profile,3,1,0.0012817338388045325,0.0012817338388045325,3.9229787969480783,0.050126708499236707,5.0345134589757084e-05,0.034435360086047646,3.7511258674268665e-05,natural logarithm
task_energy_per_eval_image_J,Model:Batch:Profile,3,6,0.005562651603344634,0.000927108600557439,2.837583960369867,0.013162817299252092,0.00021849500666028861,0.13403216880044402,0.00014149282371481858,natural logarithm
task_energy_per_eval_image_J,Precision:Batch:Profile,3,6,0.0015556745203070667,0.00025927908671784445,0.7935706531980569,0.5768835485034483,6.110523162575187e-05,0.04148975985642351,0.0,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch:Profile,4,6,0.008289813821344486,0.0013816356368907476,4.228746362572112,0.0007211928821397757,0.00032561502234260955,0.18742715297382548,0.00024861146470135946,natural logarithm
