dataset,prefix,model,precision,batch,profile,samples,gpu_active_mean_percent,gpu_active_p95_percent,emc_bandwidth_mean_percent,emc_bandwidth_p95_percent,cpu_mean_across_cores_percent,cpu_p95_across_cores_percent,fan_fields,throttle_fields,forward_time_fraction_of_meta_duration
Clone3,mobilenet_v2_fp32_slow_BS1,mobilenet_v2,fp32,1,slow,2989,27.429909668785548,50.0,4.9585145533623285,5.0,20.804449648711945,23.833333333333332,0,0,0.6246079950092325
Clone3,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,128,slow,1418,30.87729196050776,99.0,13.633286318758815,24.0,18.781029619181947,28.833333333333332,0,0,0.2852144501357218
Clone3,mobilenet_v2_fp32_slow_BS16,mobilenet_v2,fp32,16,slow,1428,32.61274509803921,99.0,12.123249299719888,14.0,19.14519140989729,24.0,0,0,0.3117839692126931
Clone3,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,32,slow,1397,29.362920544022906,99.0,12.856836077308518,16.0,19.00954426151277,24.833333333333332,0,0,0.2981024485804306
Clone3,mobilenet_v2_fp32_slow_BS4,mobilenet_v2,fp32,4,slow,1595,36.052664576802506,99.0,10.062068965517241,11.0,21.908150470219436,26.5,0,0,0.3681578994033521
Clone3,mobilenet_v2_fp32_slow_BS64,mobilenet_v2,fp32,64,slow,1418,29.306064880112835,99.0,12.894922425952045,18.0,19.246003761165962,28.166666666666668,0,0,0.2894127295446321
Clone3,mobilenet_v2_fp32_slow_BS8,mobilenet_v2,fp32,8,slow,1483,32.97235333782873,99.0,11.476736345246122,13.0,20.302202742189255,25.0,0,0,0.3345070127665439
Clone3,mobilenet_v2_fp64_fast_BS1,mobilenet_v2,fp64,1,fast,2969,73.80633209834961,99.0,10.337487369484675,11.0,14.658751543729649,16.666666666666668,0,0,0.7416459823420246
Clone3,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,128,fast,3328,75.63100961538461,99.0,12.325721153846153,21.0,6.564052483974359,26.0,0,0,0.7530529730163013
Clone3,mobilenet_v2_fp64_fast_BS16,mobilenet_v2,fp64,16,fast,5555,81.14383438343835,99.0,7.2250225022502255,8.0,5.553555355535553,11.5,0,0,0.8204161438484828
Clone3,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,32,fast,2830,76.19081272084806,99.0,13.125088339222614,16.0,6.402767962308598,13.0,0,0,0.7631711729102171
Clone3,mobilenet_v2_fp64_fast_BS4,mobilenet_v2,fp64,4,fast,3271,76.37603179455824,99.0,11.125955365331702,12.0,7.1716090899826765,9.333333333333334,0,0,0.7724396029484557
Clone3,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,64,fast,5773,82.15711068768405,99.0,7.27403429759224,11.0,5.490732721288758,24.833333333333332,0,0,0.8165984080535043
Clone3,mobilenet_v2_fp64_fast_BS8,mobilenet_v2,fp64,8,fast,5909,81.69487222880352,99.0,6.768319512607886,8.0,5.736503638517515,8.666666666666666,0,0,0.8253572849321967
Clone3,mobilenet_v2_fp64_medium_BS1,mobilenet_v2,fp64,1,medium,2971,73.77179400875126,99.0,10.257489060922248,11.0,14.358352967575453,16.5,0,0,0.7416370154123935
Clone3,mobilenet_v2_fp64_medium_BS128,mobilenet_v2,fp64,128,medium,3295,77.08315629742033,99.0,12.428831562974203,21.0,6.507637835103692,26.333333333333332,0,0,0.7612605957487909
Clone3,mobilenet_v2_fp64_medium_BS16,mobilenet_v2,fp64,16,medium,2971,74.99730730393807,99.0,12.329182093571188,14.0,6.121732301133177,8.833333333333334,0,0,0.7749668050944164
Clone3,mobilenet_v2_fp64_medium_BS32,mobilenet_v2,fp64,32,medium,2935,73.47393526405452,99.0,12.64258943781942,15.0,7.511073253833049,15.166666666666666,0,0,0.7430786262106294
Clone3,mobilenet_v2_fp64_medium_BS4,mobilenet_v2,fp64,4,medium,3276,76.61416361416362,99.0,11.02930402930403,12.0,7.257580382580383,9.5,0,0,0.7717162885277262
Clone3,mobilenet_v2_fp64_medium_BS64,mobilenet_v2,fp64,64,medium,3104,77.22551546391753,99.0,12.421069587628866,17.0,6.1325171821305835,21.5,0,0,0.7731252636667627
Clone3,mobilenet_v2_fp64_medium_BS8,mobilenet_v2,fp64,8,medium,3157,79.93506493506493,99.0,11.623376623376624,12.0,6.449160595502059,8.833333333333334,0,0,0.7796747695965689
Clone3,mobilenet_v2_fp64_slow_BS1,mobilenet_v2,fp64,1,slow,5572,76.05617372577171,99.0,5.97954055994257,6.0,12.478104809763101,15.166666666666666,0,0,0.7747201815334239
Clone3,mobilenet_v2_fp64_slow_BS128,mobilenet_v2,fp64,128,slow,6155,81.39756295694558,99.0,7.305442729488221,14.0,5.894340644462497,27.666666666666668,0,0,0.8073296332701062
Clone3,mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,16,slow,5549,81.77707695080194,99.0,7.2477923950261305,8.0,5.5834384573797085,11.666666666666666,0,0,0.821522241824118
Clone3,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,32,slow,5312,80.75414156626506,99.0,7.610128012048193,10.0,5.7327120983935735,17.908333333333303,0,0,0.809411137041197
Clone3,mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,4,slow,6068,81.29152933421226,99.0,6.658042188529993,7.0,6.324653922214898,9.166666666666666,0,0,0.8235473466965233
Clone3,mobilenet_v2_fp64_slow_BS64,mobilenet_v2,fp64,64,slow,5779,81.75999307838727,99.0,7.2903616542654435,11.0,5.470006344811675,24.5,0,0,0.8171806621877917
Clone3,mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,8,slow,5907,81.63941086846114,99.0,6.780429998307094,8.0,5.73562440042887,8.833333333333334,0,0,0.8255072299499838
Clone3,resnet50_fp16_fast_BS1,resnet50,fp16,1,fast,2318,23.73986194995686,35.0,8.898188093183778,9.0,20.475194132873167,22.833333333333332,0,0,0.6738879835229497
Clone3,resnet50_fp16_fast_BS128,resnet50,fp16,128,fast,959,31.3555787278415,99.0,21.42648592283629,33.0,17.854362182829338,26.5,0,0,0.2880912157963407
Clone3,resnet50_fp16_fast_BS16,resnet50,fp16,16,fast,952,32.581932773109244,99.0,19.727941176470587,22.0,18.904586834733895,22.166666666666668,0,0,0.3130043005936187
Clone3,resnet50_fp16_fast_BS32,resnet50,fp16,32,fast,935,30.758288770053476,99.0,19.990374331550804,23.0,18.176292335115868,22.166666666666668,0,0,0.3024867350335576
Clone3,resnet50_fp16_fast_BS4,resnet50,fp16,4,fast,1067,33.05342080599812,98.0,17.77132146204311,19.0,22.264136207435175,25.333333333333332,0,0,0.3740860887953276
Clone3,resnet50_fp16_fast_BS64,resnet50,fp16,64,fast,1463,32.36637047163363,99.0,13.449077238550922,19.0,18.949532923217134,28.5,0,0,0.3136450335771254
Clone3,resnet50_fp16_fast_BS8,resnet50,fp16,8,fast,993,33.89224572004028,99.0,18.59214501510574,20.0,20.273749580396103,23.666666666666668,0,0,0.3377323730132303
Clone3,resnet50_fp16_medium_BS1,resnet50,fp16,1,medium,2463,53.25416159155501,75.0,8.425091352009744,9.0,19.82128840167817,22.0,0,0,0.6862983774738424
Clone3,resnet50_fp16_medium_BS128,resnet50,fp16,128,medium,972,32.32921810699588,99.0,21.054526748971192,32.0,17.872770919067218,27.07499999999999,0,0,0.2957556040721521
Clone3,resnet50_fp16_medium_BS16,resnet50,fp16,16,medium,1138,33.017574692442885,99.0,16.85500878734622,19.0,19.430287053309897,22.833333333333332,0,0,0.3306206852534912
Clone3,resnet50_fp16_medium_BS32,resnet50,fp16,32,medium,1055,30.83696682464455,99.0,17.891943127962087,21.0,19.341232227488153,24.5,0,0,0.3101720998457132
Clone3,resnet50_fp16_medium_BS4,resnet50,fp16,4,medium,1289,43.86966640806827,99.0,15.075252133436774,16.0,21.279286268425135,24.166666666666668,0,0,0.4524651277284099
Clone3,resnet50_fp16_medium_BS64,resnet50,fp16,64,medium,1022,31.173189823874754,99.0,18.79060665362035,24.0,19.773157208088712,26.166666666666668,0,0,0.2983162831168805
Clone3,resnet50_fp16_medium_BS8,resnet50,fp16,8,medium,1128,42.244680851063826,99.0,16.699468085106382,19.0,18.059988179669027,21.0,0,0,0.4223671424610361
Clone3,resnet50_fp16_slow_BS1,resnet50,fp16,1,slow,3499,36.831666190340094,59.0,5.982852243498142,6.0,21.030770696389443,23.833333333333332,0,0,0.6768685475058703
Clone3,resnet50_fp16_slow_BS128,resnet50,fp16,128,slow,1464,32.01707650273224,99.0,14.336065573770492,25.0,18.333674863387976,29.0,0,0,0.304120134964826
Clone3,resnet50_fp16_slow_BS16,resnet50,fp16,16,slow,1510,33.711920529801326,99.0,12.882119205298013,15.0,18.949889624724065,24.0,0,0,0.3440354384766473
Clone3,resnet50_fp16_slow_BS32,resnet50,fp16,32,slow,1458,33.9636488340192,99.0,13.2599451303155,16.0,18.600251486053953,24.333333333333332,0,0,0.327772429990415
Clone3,resnet50_fp16_slow_BS4,resnet50,fp16,4,slow,1769,42.540983606557376,99.0,11.175805539853025,12.0,21.417561710947805,25.166666666666668,0,0,0.4311423898036234
Clone3,resnet50_fp16_slow_BS64,resnet50,fp16,64,slow,1471,32.405846363018355,99.0,13.377294357579878,19.0,18.736687060956267,28.5,0,0,0.3179295023988976
Clone3,resnet50_fp16_slow_BS8,resnet50,fp16,8,slow,1619,38.344657195799876,99.0,11.917850525015442,13.0,19.63145974881614,24.0,0,0,0.3847798179157842
Clone3,resnet50_fp32_fast_BS1,resnet50,fp32,1,fast,3167,60.99494790022103,97.0,13.906851910325228,15.0,20.172192400799915,23.166666666666668,0,0,0.6480547700707603
Clone3,resnet50_fp32_fast_BS128,resnet50,fp32,128,fast,1333,49.52888222055514,99.0,30.56339084771193,55.0,12.505501375343838,25.333333333333332,0,0,0.4888753013741295
Clone3,resnet50_fp32_fast_BS16,resnet50,fp32,16,fast,2149,53.857142857142854,99.0,20.515123313168917,23.0,13.207460834496667,18.76666666666665,0,0,0.5388713177548337
