dataset,prefix,model,precision,batch,profile,total_images,warmup_images,throughput_img_s,task_time_s,task_throughput_img_s,task_energy_J,task_energy_per_eval_image_J,task_energy_per_processed_image_J,task_edp_Js
fixed_2026-03,resnet50_fp64_medium_BS64,resnet50,fp64,64,medium,50000.0,3200,2.2964613374453835,23942.0,2.0883802522763344,174322.3715,3.48644743,3.2767363063909776,4173626218.453
fixed_2026-03,resnet50_fp64_slow_BS128,resnet50,fp64,128,slow,50000.0,6400,1.2214831556987735,47318.0,1.056680333065641,246384.1115,4.92768223,4.3685126152482265,11658403387.957
fixed_2026-03,resnet50_fp64_slow_BS32,resnet50,fp64,32,slow,50000.0,1600,1.1589589006836245,45603.0,1.0964190952349626,250162.3415,5.00324683,4.848107393410853,11408153259.4245
fixed_2026-03,resnet50_fp64_slow_BS64,resnet50,fp64,64,slow,50000.0,3200,1.158527334721576,47017.0,1.0634451368653892,261161.165,5.2232233,4.909044454887218,12279014494.805
random_2026-03,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,fast,50000.0,6400,257.94142005180504,1234.0,40.51863857374392,8010.966,0.16021932,0.14203840425531916,9885532.044
random_2026-03,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,fast,50000.0,1600,428.867992404574,756.0,66.13756613756614,5856.0885,0.11712177,0.11349008720930233,4427202.9059999995
random_2026-03,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,64,fast,50000.0,3200,456.8050434154668,774.0,64.59948320413437,5971.779500000001,0.11943559000000001,0.11225149436090226,4622157.333000001
random_2026-03,mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,128,medium,50000.0,6400,413.9608096088284,840.0,59.523809523809526,6108.81,0.12217620000000001,0.1083122340425532,5131400.4
random_2026-03,mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,32,medium,50000.0,1600,294.3800193559594,822.0,60.82725060827251,5897.8055,0.11795611,0.1142985562015504,4847996.121
random_2026-03,mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,64,medium,50000.0,3200,369.8345043821229,851.0,58.75440658049354,6051.0345,0.12102069,0.11374125,5149430.3595
random_2026-03,mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,128,slow,50000.0,6400,252.38363596142295,1232.0,40.58441558441559,7986.8705,0.15973741,0.14161117907801418,9839824.456
random_2026-03,mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,32,slow,50000.0,1600,218.78487766103365,1220.0,40.98360655737705,7847.0775,0.15694155,0.1520751453488372,9573434.55
random_2026-03,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,64,slow,50000.0,3200,241.26461006201447,1237.0,40.42037186742118,7995.371499999999,0.15990743,0.1502889379699248,9890274.5455
random_2026-03,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,fast,50000.0,6400,243.7132828656304,861.0,58.07200929152149,7594.7365,0.15189473,0.13465844858156029,6539068.1265
random_2026-03,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,fast,50000.0,1600,129.4155808702459,1381.0,36.205648081100655,9634.5755,0.19269151,0.18671657945736436,13305348.765500002
random_2026-03,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,64,fast,50000.0,3200,239.8392725952144,901.0,55.49389567147614,7659.576499999999,0.15319153,0.14397700187969922,6901278.426499999
random_2026-03,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,128,medium,50000.0,6400,232.28043221810984,936.0,53.41880341880342,7576.120500000001,0.15152241000000002,0.13432837765957448,7091248.788000001
random_2026-03,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,32,medium,50000.0,1600,191.4310461482445,994.0,50.30181086519115,7708.873,0.15417746,0.14939676356589146,7662619.761999999
random_2026-03,mobilenet_v2_fp32_medium_BS64,mobilenet_v2,fp32,64,medium,50000.0,3200,214.4743365962867,892.0,56.053811659192824,7319.7325,0.14639465000000002,0.1375889567669173,6529201.39
random_2026-03,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,128,slow,50000.0,6400,132.08187314143998,1430.0,34.96503496503497,9970.673,0.19941346000000001,0.17678498226950357,14258062.39
random_2026-03,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,32,slow,50000.0,1600,124.2127785245046,1395.0,35.842293906810035,9634.771,0.19269542,0.1867203682170543,13440505.545000002
random_2026-03,mobilenet_v2_fp32_slow_BS64,mobilenet_v2,fp32,64,slow,50000.0,3200,127.54484739795583,1432.0,34.91620111731844,9900.956,0.19801912,0.18610819548872182,14178168.992
random_2026-03,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,128,fast,50000.0,6400,11.090891289298094,6140.0,8.143322475570033,38366.2215,0.76732443,0.6802521542553192,235568600.01
random_2026-03,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,32,fast,50000.0,1600,29.402239376904124,2271.0,22.016732716864816,19872.870000000003,0.39745740000000007,0.38513313953488376,45131287.77
random_2026-03,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,64,fast,50000.0,3200,11.08779509279464,5833.0,8.571918395336876,36335.023,0.72670046,0.6829891541353383,211942189.159
random_2026-03,mobilenet_v2_fp64_medium_BS128,mobilenet_v2,fp64,128,medium,50000.0,6400,21.916519431715752,3330.0,15.015015015015015,24914.406,0.49828812,0.44174478723404254,82964971.98
random_2026-03,mobilenet_v2_fp64_medium_BS32,mobilenet_v2,fp64,32,medium,50000.0,1600,23.378481180694923,2955.0,16.920473773265652,22233.155,0.4446631,0.43087509689922476,65698973.025
random_2026-03,mobilenet_v2_fp64_medium_BS64,mobilenet_v2,fp64,64,medium,50000.0,3200,21.771574607800424,3188.0,15.683814303638645,23796.299,0.47592597999999997,0.44729885338345865,75862601.212
random_2026-03,mobilenet_v2_fp64_slow_BS128,mobilenet_v2,fp64,128,slow,50000.0,6400,11.07644119520827,6221.0,8.037293039704227,38939.928,0.77879856,0.690424255319149,242245292.088
random_2026-03,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,32,slow,50000.0,1600,11.847116307605823,5368.0,9.314456035767511,33479.227,0.66958454,0.6488222286821705,179716490.53599998
random_2026-03,mobilenet_v2_fp64_slow_BS64,mobilenet_v2,fp64,64,slow,50000.0,3200,11.065293116103623,5838.0,8.564576909900651,36297.984500000006,0.7259596900000002,0.6822929417293234,211907633.51100004
random_2026-03,resnet50_fp16_fast_BS128,resnet50,fp16,128,fast,50000.0,6400,251.50387030110173,754.0,66.3129973474801,7983.503000000001,0.15967006,0.14155147163120568,6019561.262
random_2026-03,resnet50_fp16_fast_BS32,resnet50,fp16,32,fast,50000.0,1600,208.07498059607315,868.0,57.6036866359447,7876.608,0.15753216,0.1526474418604651,6836895.744
random_2026-03,resnet50_fp16_fast_BS64,resnet50,fp16,64,fast,50000.0,3200,114.78729270274587,1471.0,33.99048266485384,10575.39,0.2115078,0.19878552631578947,15556398.69
random_2026-03,resnet50_fp16_medium_BS128,resnet50,fp16,128,medium,50000.0,6400,209.6255715236912,906.0,55.18763796909492,7915.15,0.158303,0.1403395390070922,7171125.899999999
random_2026-03,resnet50_fp16_medium_BS32,resnet50,fp16,32,medium,50000.0,1600,170.46965723365597,1030.0,48.54368932038835,8368.9185,0.16737837,0.1621883430232558,8619986.055
random_2026-03,resnet50_fp16_medium_BS64,resnet50,fp16,64,medium,50000.0,3200,190.26153088962585,994.0,50.30181086519115,8259.1545,0.16518309,0.155247265037594,8209599.573000001
random_2026-03,resnet50_fp16_slow_BS128,resnet50,fp16,128,slow,50000.0,6400,120.6625901264328,1486.0,33.64737550471063,10710.785500000002,0.21421571000000003,0.18990754432624116,15916227.253000002
random_2026-03,resnet50_fp16_slow_BS32,resnet50,fp16,32,slow,50000.0,1600,108.7231397762806,1457.0,34.317089910775564,10357.811999999998,0.20715623999999996,0.20073279069767438,15091332.083999997
random_2026-03,resnet50_fp16_slow_BS64,resnet50,fp16,64,slow,50000.0,3200,112.59665336945471,1479.0,33.80662609871535,10558.209,0.21116418,0.19846257518796995,15615591.111000001
