progress_percent,slow_cpu_MHz,slow_gpu_MHz,slow_temperature_C,slow_power_W,medium_cpu_MHz,medium_gpu_MHz,medium_temperature_C,medium_power_W,fast_cpu_MHz,fast_gpu_MHz,fast_temperature_C,fast_power_W
17.0,729.0,305.0,40.539590000000004,5.147379999999997,1171.9799999999998,778.6199999999995,38.582499999999996,6.196719999999998,729.0,407.0,38.812,5.3446
18.0,729.0,305.0,40.29972,4.963920000000001,1190.0,305.0,38.40316,5.846799999999999,729.0,407.0,38.919380000000004,5.202140000000002
19.0,729.0,305.0,40.38899,5.097539999999993,1190.0,621.2000000000003,38.420500000000004,6.059060000000001,729.0,407.0,38.80146,5.05911
20.0,729.0,305.0,40.5118,5.294600000000005,913.399999999997,773.6000000000007,38.45,6.205600000000002,729.0,407.0,38.8494,5.5931999999999995
21.0,729.0,305.0,40.69175000000001,5.388199999999997,1190.0,305.0,38.62148,5.471820000000003,729.0,407.53,38.67057,5.3518500000000016
22.0,729.0,305.0,40.35862,5.081120000000006,1120.5599999999988,586.5199999999958,38.61464,6.257439999999998,729.0,408.0,38.77852,5.027459999999999
23.0,729.0,346.8199999999996,40.3835,5.594119999999998,1190.0,305.0,38.58874,5.579860000000002,729.0,407.0,38.89175,5.0689899999999986
24.0,729.0,398.83999999999963,40.55704,5.230319999999999,1190.0,305.0,38.396119999999996,5.7956,729.0,407.0,38.85324,5.144319999999997
25.0,729.0,305.0,40.319750000000006,5.2260000000000035,1190.0,611.0,38.4525,6.234500000000001,729.0,407.0,38.851,5.116
26.0,729.0,364.15999999999815,40.511,5.429539999999987,1042.6399999999992,564.0399999999993,38.685,6.179,729.0,407.0,38.73866,5.666260000000004
27.0,729.0,305.0,40.508500000000005,5.081289999999995,1084.1999999999991,305.0,38.338499999999996,5.546260000000001,729.0,407.0,38.76023,5.394599999999998
28.0,729.0,329.48000000000104,40.334559999999996,5.135160000000009,1190.0,305.0,38.522,5.667160000000002,729.0,407.0,38.90224,5.346599999999996
29.0,729.0,363.1400000000003,40.321419999999996,5.3875800000000025,1143.6000000000006,600.7999999999961,38.35644,6.084779999999997,729.0,407.96999999999997,38.85239000000001,5.132399999999998
30.0,729.0,305.0,40.2274,5.195300000000003,1190.0,611.0000000000032,38.543000000000006,5.946600000000004,729.0,407.0,38.743700000000004,5.272000000000005
31.0,729.0,305.0,40.31425000000001,5.062170000000004,1190.0,305.0,38.5155,5.40942,729.0,407.0,38.76054,4.995430000000002
32.0,729.0,305.0,40.19072,5.0912000000000015,1163.0000000000002,450.07999999999896,38.59832,5.885519999999999,729.0,407.76,38.854879999999994,5.2484799999999945
33.0,729.0,316.33000000000226,40.301570000000005,5.354889999999996,1190.0,305.0,38.43858,5.400659999999994,729.0,407.31,38.87383,5.548579999999993
34.0,729.0,327.4399999999975,40.437,5.067439999999985,1091.7599999999961,468.2000000000065,38.518240000000006,5.681960000000012,729.0,407.38,38.8585,5.239819999999999
35.0,729.0,305.0,40.39925000000001,5.272450000000008,902.5999999999958,693.3000000000052,38.5621,6.248700000000004,729.0,407.0,38.718,5.354350000000011
36.0,729.0,305.0,40.179559999999995,5.0656,1190.0,305.0,38.56696,5.756919999999998,729.0,407.0,38.86212,5.170079999999995
37.0,729.0,326.4199999999996,40.44847,5.117009999999999,1190.0,305.0,38.54362,5.6353399999999985,729.0,407.0,38.94971,4.935800000000001
38.0,729.0,305.0,40.444520000000004,5.427179999999998,1190.0,692.6000000000117,38.56099999999999,6.176720000000011,729.0,407.0,38.78162,5.760720000000015
39.0,729.0,305.0,40.22619,5.390870000000002,830.4199999999976,702.8000000000027,38.47132,6.263380000000001,729.0,407.0,38.855239999999995,5.100180000000005
40.0,729.0,305.0,40.143,5.3284,1190.0,386.59999999999866,38.3248,5.866599999999993,729.0,407.0,38.7374,4.861599999999994
41.0,729.0,305.0,40.125,5.216459999999985,1190.0,305.0,38.41716,5.4792199999999935,729.0,407.0,39.04172,5.358660000000002
42.0,729.0,392.7200000000032,40.31634,5.464060000000017,1190.0,305.0,38.441959999999995,5.8116,729.0,407.47,38.77675000000001,5.536540000000001
43.0,729.0,305.0,40.50860999999999,5.1721900000000085,1190.0,305.0,38.66034,5.5314,729.0,407.0,39.09082,5.695189999999998
44.0,729.0,358.04,40.281,5.32692,1162.3999999999953,766.9199999999917,38.437,6.262279999999995,729.0,407.0,38.77743999999999,4.978279999999998
45.0,729.0,320.3000000000022,40.34780000000001,5.391150000000008,1190.0,305.0,38.3649,5.810000000000001,729.0,407.0,38.843,5.761699999999989
46.0,729.0,388.64000000000283,40.32041999999999,5.672840000000009,836.7199999999971,781.4400000000031,38.583000000000006,6.2026,729.0,407.21999999999997,38.93368,5.381580000000003
