device_block,fast_sequence_index,fast_start_timestamp_utc,fast_metadata_timestamp_utc,fast_prefix,model,precision,batch,realized_fast_regime,fast_cpu_mode_MHz,fast_gpu_mode_MHz,immediate_predecessor_sequence_index,immediate_predecessor_start_timestamp_utc,immediate_predecessor_prefix,immediate_predecessor_profile,immediate_predecessor_fast_regime,immediate_predecessor_state,expected_regime_from_immediate_predecessor,immediate_rule_match,last_nonfast_sequence_index,last_nonfast_start_timestamp_utc,last_nonfast_prefix,last_nonfast_profile,expected_regime_from_last_nonfast,last_nonfast_rule_match
Clone1,89,2026-07-09T12:39:20.588670492+00:00,2026-07-09T12:52:29+00:00,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,64,high,1190.0,815.0,88,2026-07-09T12:17:32.835606337+00:00,resnet50_fp16_medium_BS4,medium,not_applicable,medium,high,True,88,2026-07-09T12:17:32.835606337+00:00,resnet50_fp16_medium_BS4,medium,high,True
Clone1,92,2026-07-10T03:39:19.695868492+00:00,2026-07-10T05:18:47+00:00,mobilenet_v2_fp64_fast_BS8,mobilenet_v2,fp64,8,low,729.0,407.0,91,2026-07-10T02:37:12.469204426+00:00,resnet50_fp16_slow_BS1,slow,not_applicable,slow,low,True,91,2026-07-10T02:37:12.469204426+00:00,resnet50_fp16_slow_BS1,slow,low,True
Clone1,93,2026-07-10T05:18:52.230632544+00:00,2026-07-10T05:39:16+00:00,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,low,729.0,407.0,92,2026-07-10T03:39:19.695868492+00:00,mobilenet_v2_fp64_fast_BS8,fast,low,fast-low,low,True,91,2026-07-10T02:37:12.469204426+00:00,resnet50_fp16_slow_BS1,slow,low,True
Clone1,95,2026-07-10T12:16:05.704962254+00:00,2026-07-10T13:05:53+00:00,mobilenet_v2_fp64_fast_BS1,mobilenet_v2,fp64,1,high,1190.0,815.0,94,2026-07-10T05:39:22.397646904+00:00,resnet50_fp64_medium_BS4,medium,not_applicable,medium,high,True,94,2026-07-10T05:39:22.397646904+00:00,resnet50_fp64_medium_BS4,medium,high,True
Clone1,97,2026-07-10T13:28:05.117993832+00:00,2026-07-10T13:44:27+00:00,mobilenet_v2_fp32_fast_BS4,mobilenet_v2,fp32,4,high,1190.0,815.0,96,2026-07-10T13:05:58.959085464+00:00,resnet50_fp32_medium_BS32,medium,not_applicable,medium,high,True,96,2026-07-10T13:05:58.959085464+00:00,resnet50_fp32_medium_BS32,medium,high,True
Clone1,98,2026-07-10T13:44:33.363146305+00:00,2026-07-10T14:00:21+00:00,resnet50_fp16_fast_BS64,resnet50,fp16,64,high,1190.0,815.0,97,2026-07-10T13:28:05.117993832+00:00,mobilenet_v2_fp32_fast_BS4,fast,high,fast-high,high,True,96,2026-07-10T13:05:58.959085464+00:00,resnet50_fp32_medium_BS32,medium,high,True
Clone1,100,2026-07-10T14:55:42.601657629+00:00,2026-07-10T15:30:38+00:00,resnet50_fp32_fast_BS1,resnet50,fp32,1,high,1190.0,815.0,99,2026-07-10T14:00:27.295174122+00:00,mobilenet_v2_fp64_medium_BS128,medium,not_applicable,medium,high,True,99,2026-07-10T14:00:27.295174122+00:00,mobilenet_v2_fp64_medium_BS128,medium,high,True
Clone1,103,2026-07-10T16:11:27.986440897+00:00,2026-07-10T16:24:33+00:00,mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,16,high,1190.0,815.0,102,2026-07-10T15:51:18.968719006+00:00,mobilenet_v2_fp32_medium_BS4,medium,not_applicable,medium,high,True,102,2026-07-10T15:51:18.968719006+00:00,mobilenet_v2_fp32_medium_BS4,medium,high,True
Clone1,108,2026-07-10T18:20:10.183284760+00:00,2026-07-10T19:10:10+00:00,mobilenet_v2_fp32_fast_BS1,mobilenet_v2,fp32,1,low,729.0,407.0,107,2026-07-10T17:59:33.545355320+00:00,mobilenet_v2_fp16_slow_BS128,slow,not_applicable,slow,low,True,107,2026-07-10T17:59:33.545355320+00:00,mobilenet_v2_fp16_slow_BS128,slow,low,True
Clone1,109,2026-07-10T19:10:16.144922733+00:00,2026-07-10T20:39:25+00:00,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,32,low,729.0,407.0,108,2026-07-10T18:20:10.183284760+00:00,mobilenet_v2_fp32_fast_BS1,fast,low,fast-low,low,True,107,2026-07-10T17:59:33.545355320+00:00,mobilenet_v2_fp16_slow_BS128,slow,low,True
