model,precision,batch,profile,n_devices,throughput_mean,throughput_sd,task_energy_mJ_mean,task_energy_mJ_sd,task_throughput_mean,task_throughput_sd,max_temperature_C_mean
mobilenet_v2,fp16,128,slow,3,243.60226555788154,0.14144608115767912,134.06664,4.7910098150285565,40.6396137762759,0.11595615624286866,39.906
mobilenet_v2,fp32,1,fast,3,31.56528111611016,8.283965738208597,293.10504,30.636229851620158,19.63849798756191,5.209770830590673,39.583
mobilenet_v2,fp32,1,medium,3,38.495833258959514,0.8751309459862369,235.68137666666667,7.271815663933842,23.98648068121459,0.580766334024874,41.114
mobilenet_v2,fp32,1,slow,3,26.426712708583125,0.24377063222169323,316.84214000000003,12.709647827619003,16.471063902977093,0.07327846758772934,39.10366666666667
mobilenet_v2,fp32,4,fast,3,155.09229731590503,3.3159249073457318,142.28502666666668,4.487332296424374,50.59545509895782,0.6289165816174522,42.44733333333334
mobilenet_v2,fp32,4,medium,3,96.05988528911087,0.6678611241056791,154.51345666666666,8.240833216910383,40.94929613582379,0.7960432213075673,41.14533333333333
mobilenet_v2,fp32,4,slow,3,85.32861616775578,0.08693601667081749,184.79360666666668,5.101006788324569,31.160613621480948,0.26493356338223006,39.62433333333333
mobilenet_v2,fp32,8,fast,3,167.22288181630873,42.93736510320701,144.73719333333332,24.673652547576594,48.28096231408359,11.0896936408584,40.07266666666666
mobilenet_v2,fp32,8,medium,3,120.45929224345575,9.59770891727147,146.30058333333335,14.383483869220743,44.84351041491954,3.8148257015377536,40.47866666666667
mobilenet_v2,fp32,8,slow,3,101.19041751848674,0.06360830883160556,174.43638000000004,6.570021251130001,33.303792382457765,0.05580732440508153,38.562000000000005
mobilenet_v2,fp32,16,fast,3,147.72460888118727,44.324063821352624,153.53080333333332,14.262642826539311,42.28867163312767,11.651056336243578,39.95766666666667
mobilenet_v2,fp32,16,medium,3,148.36334818949635,0.6748664059124131,141.86613666666668,6.326966774231816,45.52476278464892,0.2913963647095502,38.958
mobilenet_v2,fp32,16,slow,3,112.87882127912074,0.049108815755114756,168.64614000000003,6.40905135898442,34.498952880983786,0.13137614459258729,40.291666666666664
mobilenet_v2,fp32,32,fast,3,178.73895068761416,45.350960095327025,141.77503333333334,18.321123405818575,49.41829223965963,11.828000542684592,39.94766666666666
mobilenet_v2,fp32,32,medium,3,175.53877605968947,0.9763851695076038,131.89045,8.48047013768105,51.37472794159161,2.081907082228894,42.166333333333334
mobilenet_v2,fp32,32,slow,3,121.45405474051478,0.05932418622910287,164.18087666666668,5.831452720740633,35.62198640783394,0.2305980646239454,39.19766666666666
mobilenet_v2,fp32,64,fast,3,205.20992271870634,0.9439973011979111,133.04246333333333,5.639584884070236,54.99232048923269,0.761811610410008,42.24933333333333
mobilenet_v2,fp32,64,medium,3,190.237733150943,0.9528387743894414,134.13543,3.5473077616835087,50.98808459562682,1.69192974124425,46.74966666666666
mobilenet_v2,fp32,64,slow,3,124.68834829160973,0.07181224603317549,166.69574333333338,6.654238090512951,35.03066111643972,0.1257796706869824,38.82266666666667
mobilenet_v2,fp32,128,fast,3,155.3965637424917,44.74116463175071,158.61186333333336,23.093419565457026,41.23553088892927,11.050780541059867,41.166333333333334
mobilenet_v2,fp32,128,medium,3,200.75266874240663,0.5316676210873877,136.27649666666667,4.539529668030963,51.247022558497974,0.030335764459312548,42.562333333333335
mobilenet_v2,fp32,128,slow,3,128.70039927610213,0.06885092672710658,168.85687000000001,6.486734248132893,34.94068067669889,0.06465935094268718,40.583
mobilenet_v2,fp64,1,fast,3,18.920327228133505,6.4281569343389275,474.33455666666663,143.55905152737404,14.013830814232017,4.638345825158203,40.62433333333333
mobilenet_v2,fp64,1,medium,3,22.558870561899624,0.08532544019481149,404.23003000000006,22.31372868769136,16.45258034903276,0.35639344028839465,41.74966666666666
mobilenet_v2,fp64,1,slow,3,11.491053959610523,0.00743156625598438,604.8236800000001,26.425521566707033,8.793911883390725,0.07130204525145753,39.35366666666667
mobilenet_v2,fp64,4,fast,3,16.486561079904323,5.654601442000529,495.73876000000007,144.3930977014279,12.818747576905986,4.060650561928949,39.708
mobilenet_v2,fp64,4,medium,3,19.712218323823148,0.04444329472683593,431.5884433333333,14.75584768792474,14.741435046259802,0.6270860613160032,40.864
mobilenet_v2,fp64,4,slow,3,9.955344494215137,0.0009095210274529388,631.7040466666667,26.43375691341903,8.146420357154637,0.005023362728770149,38.32266666666666
mobilenet_v2,fp64,8,fast,3,10.241880168432884,0.000300398553435461,613.7593833333334,25.935976484937523,8.3742755342584,0.004047739772817876,37.343333333333334
mobilenet_v2,fp64,8,medium,3,20.312785008716386,0.05366139852094062,408.6989766666667,15.913445466002468,15.70025125770575,0.02223387439719266,40.97866666666667
mobilenet_v2,fp64,8,slow,3,10.240517317588834,7.544462591368803e-05,615.42951,23.873599343875632,8.390694301298806,0.017638703022557028,40.041333333333334
mobilenet_v2,fp64,16,fast,3,14.629221645308741,6.235328118421129,512.6742633333333,92.83550552434578,11.485695874713572,4.467634065653859,40.24966666666666
mobilenet_v2,fp64,16,medium,3,21.832566463974217,0.1159695479243543,390.62068,21.701079350813448,16.481252670170772,0.4069385887557963,40.64533333333333
mobilenet_v2,fp64,16,slow,3,11.023787219373672,0.0005221319553256349,581.3353433333334,25.290741688737235,8.895231845187947,0.015274580191257636,39.385
mobilenet_v2,fp64,32,fast,3,19.66956948587088,6.740151369300985,430.7195066666667,95.26140867152151,14.77785033019341,4.7058109943339925,40.82266666666666
mobilenet_v2,fp64,32,medium,3,23.330815048814753,0.03086177569780926,376.7590366666667,11.11072206796814,17.019394050419738,0.2754494304928695,41.86433333333333
mobilenet_v2,fp64,32,slow,3,11.832291857649599,0.008469027911713375,559.5820633333334,25.339585482131103,9.29312192654854,0.015580005662231418,40.72866666666666
mobilenet_v2,fp64,64,fast,3,18.355238090417995,6.301636129171882,467.47788666666673,110.45713141679553,13.594696811349701,4.353747083431952,40.333
mobilenet_v2,fp64,64,medium,3,21.72506661005973,0.058511254837852654,399.4893333333333,15.983383339895012,15.873411361907108,0.09688692869167666,40.37466666666666
mobilenet_v2,fp64,64,slow,3,11.056442732968492,0.001677220787730392,603.3847666666668,23.85523745105116,8.559689958788878,0.0022382007921722125,39.26
mobilenet_v2,fp64,128,fast,3,17.70552123638033,7.3047898943975715,554.1321933333332,234.34779045300027,12.213325362356713,4.9553490150460355,39.041333333333334
mobilenet_v2,fp64,128,medium,3,21.77801731424294,0.1761591685704811,427.79893666666663,24.483982383122076,14.857190108965527,0.354246528569825,41.666333333333334
mobilenet_v2,fp64,128,slow,3,10.663390521000496,0.44205166469868507,678.3391266666667,63.20902843368681,7.642389141879389,0.4278551695530165,38.77066666666666
resnet50,fp16,1,fast,3,24.00439983623477,6.896576331588034,379.31832,68.52891274322978,15.996840770590618,4.677995919391155,42.67666666666667
resnet50,fp16,1,medium,3,28.754570922347607,0.6493925946773,305.81381000000005,16.447022216510778,19.480234479906418,0.539761243210445,39.64566666666666
resnet50,fp16,1,slow,3,20.42046289855456,0.7119242314859933,392.77329,12.401212160909905,13.852050126168805,0.3719773091029456,37.906
resnet50,fp16,4,fast,3,110.85056883396994,26.844931833730822,178.08627333333334,17.39341911854115,41.31279031974808,9.428624863105998,41.260333333333335
resnet50,fp16,4,medium,3,85.93367844074048,0.17220470961369744,181.30243,10.555974763275056,38.1315024043281,0.3672915545326306,44.61433333333333
resnet50,fp16,4,slow,3,65.52802867676543,0.21147051406055623,216.93393000000003,8.320856323528247,27.933071174884663,0.06793105385263623,39.458
resnet50,fp16,8,fast,3,131.18847918077458,35.19661862519754,168.58169666666663,30.080696854322266,44.17460438424825,11.041299815970966,41.64566666666666
resnet50,fp16,8,medium,3,106.09301569763863,2.007879934759082,162.11223999999999,10.283127366190689,43.221982979172786,1.674516524929186,39.98933333333333
resnet50,fp16,8,slow,3,80.60542567794947,0.05567857291279934,199.64084000000003,7.751957395051903,30.28577675994934,0.22408794212852656,39.354
resnet50,fp16,16,fast,3,147.99129218078974,38.51412732505706,158.45068666666666,25.00937722471578,46.16666109597653,10.486460698197167,40.32233333333334
resnet50,fp16,16,medium,3,139.23559413178336,4.398051357791351,150.57243,8.162244860153368,47.086556283728335,3.232866601352719,40.666333333333334
resnet50,fp16,16,slow,3,96.94357493642308,0.10535898783273365,184.88769333333335,6.878322315487478,32.765465455257676,0.056856102132324185,40.51
resnet50,fp16,32,fast,3,156.92830582435013,40.79079931411434,160.09497333333337,33.65390228804132,45.71189916767744,12.809672720719735,40.74933333333333
resnet50,fp16,32,medium,3,154.7468842548866,0.47827113215005995,144.1277166666667,4.535436421529177,49.205554308388066,2.0349616011847678,41.47866666666667
resnet50,fp16,32,slow,3,105.93549319842016,0.057858700740780505,178.29095666666663,8.583375099553388,34.024001986097964,0.3707365604640563,40.24966666666666
resnet50,fp16,64,fast,3,135.45752163275245,41.06173134873996,169.7437133333333,23.619358906541752,40.047944652084425,10.849842188944082,40.77033333333333
resnet50,fp16,64,medium,3,167.97674492286282,0.9495941949991797,145.03349666666668,6.92713575588304,49.16895872983676,1.2491630761521906,41.010333333333335
resnet50,fp16,64,slow,3,109.58237531091702,0.02511924589889813,180.12861999999998,7.001835666537712,33.60972343298926,0.047001166236053604,39.74933333333333
resnet50,fp16,128,fast,3,166.59401439587396,41.81965203567205,162.10031,20.937214663987668,45.86864389461056,10.489016183984203,47.42666666666667
resnet50,fp16,128,medium,3,182.06029553186076,0.6960792809873605,143.0835766666667,5.860390917552635,50.98704611727003,0.31830036975848724,42.37466666666666
resnet50,fp16,128,slow,3,117.21174279985826,0.03449818831335444,180.37214666666665,6.882567873376441,33.80665702940584,0.039617623551411116,40.416333333333334
resnet50,fp32,1,fast,3,28.514329131857846,7.993192261667527,431.1714066666667,47.749160213408295,18.277061803227657,4.8322756804141,42.187000000000005
resnet50,fp32,1,medium,3,34.61642005342831,0.5454502472602389,373.7082266666667,13.103409975137518,22.358950072555768,0.17586271288559524,43.11433333333333
resnet50,fp32,1,slow,3,23.635695206732176,0.4058023104826974,454.94295,12.760589253964728,15.345132363539173,0.18175377293841832,40.11433333333333
resnet50,fp32,4,fast,3,50.83833935889953,15.18072692118406,324.23113666666666,53.89319650341252,28.347413493294507,7.895609336613691,43.656
resnet50,fp32,4,medium,3,55.15500199288133,0.30404046954026065,303.2714033333333,9.374364628796641,30.568838670033998,1.7446513631961074,44.416333333333334
resnet50,fp32,4,slow,3,33.23846808258355,0.009215010500520445,371.0207833333334,12.759675154737769,19.272784170606734,0.017147266668446362,41.80166666666667
resnet50,fp32,8,fast,3,59.65371710920581,17.353897628082535,285.79236000000003,43.31064021519307,30.838130590913966,7.921796469908825,41.833
resnet50,fp32,8,medium,3,64.81707433429806,0.9152767966345632,280.3008433333333,14.335726258011245,30.744856616586173,1.348899800583102,43.19766666666666
resnet50,fp32,8,slow,3,39.39231131025431,0.07296674691451892,328.2160733333334,9.880309480174862,21.76003744027106,0.2550767073643112,44.62466666666666
resnet50,fp32,16,fast,3,43.49133852818657,0.01738993113906332,305.84289,9.360987971624587,23.06634366257073,0.04799445826284663,41.583
resnet50,fp32,16,medium,3,70.961968436964,0.37495126638320936,263.1159666666667,9.823927810078496,33.0254743460633,0.1364677739487387,43.385333333333335
resnet50,fp32,16,slow,3,42.34791630305722,0.0674713253053261,308.64135999999996,9.935932740191024,22.748237634563313,0.0984843925693844,41.85366666666667
resnet50,fp32,32,fast,3,67.61075854162904,19.37021010938931,262.51926333333336,25.997096417931637,33.46940637028526,8.56987137880639,44.635
resnet50,fp32,32,medium,3,75.95852432704784,0.6448081038916132,246.79469666666665,7.94065940197873,36.99147041976551,1.222847746195827,45.031
resnet50,fp32,32,slow,3,44.57956916447392,0.009315568920094691,299.23270333333335,11.3804237640535,23.415734243928828,0.08096247495574263,41.80166666666667
resnet50,fp32,64,fast,3,58.8932289495356,20.35896733726242,279.3850266666667,36.584401990205215,28.464054192745767,8.709414001974173,41.489
resnet50,fp32,64,medium,3,79.06037869661564,0.2467712789852972,245.39599,9.911416988468394,36.28617112622509,0.3048527170534663,44.458
resnet50,fp32,64,slow,3,46.79824863647318,0.0043429537355671975,295.91867,10.744759489164942,23.466924370092517,0.0565684978157847,41.031
resnet50,fp32,128,fast,3,58.67980347537428,20.05406819645372,289.4975033333333,37.925875987855996,27.324000395124642,8.514951129031259,43.083
resnet50,fp32,128,medium,3,80.57089282482137,0.33039318595904466,249.87129333333337,9.845829153983605,36.182199340918785,0.38689460277841653,45.76
resnet50,fp32,128,slow,3,46.943798910610155,0.011729058860794788,306.0858833333333,10.406034231696184,22.737695879815295,0.05477832532876611,42.541333333333334
resnet50,fp64,1,fast,3,1.353321117446565,0.5782852315691599,4272.898366666666,908.1170676581208,1.3039539081174367,0.5463588545102284,39.114
resnet50,fp64,1,medium,3,2.02682397311921,0.004989566771806947,3088.7307800000003,139.29388221009887,1.9228560600668267,0.014729072543923829,39.85366666666667
resnet50,fp64,1,slow,3,1.0194625482722053,4.390162937345599e-05,4914.0703766666675,204.390135673596,0.9891917714487724,0.0007064922589433734,39.864000000000004
resnet50,fp64,4,fast,3,1.8361026495998096,0.6307534381380012,3354.285996666667,871.2896767217013,1.771566609232613,0.6018819603118624,39.041000000000004
resnet50,fp64,4,medium,3,2.2027644194319618,0.0055781222745045315,2832.6261900000004,113.47715965979557,2.1135491192146447,0.011186173963739424,42.14533333333333
resnet50,fp64,4,slow,3,1.107780766629017,3.996605362512629e-06,4517.954113333333,179.60013705767284,1.0768667748139114,0.00020612477516461015,40.218333333333334
resnet50,fp64,8,fast,3,1.5207783629012066,0.6525615460778472,4063.522586666666,1090.5002372701279,1.4672889684437793,0.6219939579739665,40.99933333333333
resnet50,fp64,8,medium,3,2.274257087548533,0.0058581892272333925,2867.8653733333335,115.95260086490303,2.1790520081723366,0.013356342737540385,40.041333333333334
resnet50,fp64,8,slow,3,1.144013601082747,8.020243860902878e-05,4521.878576666666,177.8541404035347,1.1088360822966978,0.00047955901798267395,40.73933333333333
resnet50,fp64,16,fast,3,2.435121922757721,0.006692825424157673,2718.811913333333,114.22914470119518,2.319875530136075,0.006688056225941147,40.92633333333334
resnet50,fp64,16,medium,3,2.4344091974098245,0.007133490483480792,2713.23155,119.96941877531653,2.3160795861400936,0.013105718364841104,41.031
resnet50,fp64,16,slow,3,1.2248921536363238,0.00011674638431481666,4284.03264,177.91568964260946,1.1762768828024568,0.0002459358948653327,41.958
resnet50,fp64,32,fast,3,1.923682738042177,0.6618420246193962,3893.9899799999994,1153.8949181440557,1.8114330957065032,0.6178123656095258,41.166333333333334
resnet50,fp64,32,medium,3,2.2996643021098357,0.006870570394831135,3301.016713333334,134.44232365188623,2.1555541770496838,0.005719072549578396,41.44766666666666
resnet50,fp64,32,slow,3,1.158916157567477,6.441407127922548e-05,4998.065099999999,198.10259207177285,1.0977671426922688,4.174655218959799e-05,40.135
