dataset,model,batch,profile,task_energy_per_eval_image_J_fp16,task_energy_per_eval_image_J_fp32,task_throughput_img_s_fp16,task_throughput_img_s_fp32,throughput_img_s_fp16,throughput_img_s_fp32,forward_throughput_fp16_over_fp32,logged_window_energy_fp16_over_fp32,logged_window_throughput_fp16_over_fp32,fp16_forward_faster,fp16_logged_window_energy_lower,fp16_logged_window_throughput_faster
Clone2,mobilenet_v2,16,fast,0.11001344,0.13716796,63.13131313131313,55.74136008918617,365.3306848437753,198.90561528693289,1.8367037266231254,0.8020345275966778,1.1325757575757576,True,True,True
Clone2,mobilenet_v2,16,medium,0.11442598,0.14914907,54.525627044711015,45.248868778280546,228.7002182924289,147.58680588045317,1.5495979937236288,0.7671920448447985,1.2050163576881134,True,True,True
Clone2,mobilenet_v2,16,slow,0.14258111999999998,0.17603803,39.7456279809221,34.43526170798898,194.40413835372107,112.8539089961794,1.722617675213204,0.8099449874552673,1.154213036565978,True,True,True
Clone2,mobilenet_v2,32,fast,0.13416093,0.1350698,42.62574595055413,56.56108597285068,227.0367984541657,204.48987867977948,1.1102593434939316,0.993271108715642,0.7536231884057971,True,True,False
Clone2,mobilenet_v2,32,medium,0.10722594999999999,0.14167936,59.31198102016607,48.97159647404506,278.43363562339954,174.67218308601076,1.5940353564270469,0.7568212476397408,1.2111506524317912,True,True,True
Clone2,mobilenet_v2,32,slow,0.13797504000000002,0.17058301,41.11842105263158,35.86800573888092,211.0065888795324,121.3921946882803,1.7382220448470385,0.8088439757277118,1.1463815789473686,True,True,True
Clone2,mobilenet_v2,64,fast,0.13846725,0.13928916000000002,41.49377593360996,54.6448087431694,242.55506067786447,204.69510401467923,1.1849578027057754,0.9940992536676936,0.7593360995850623,True,True,False
Clone2,mobilenet_v2,64,medium,0.10239955999999999,0.13636102,61.881188118811885,52.854122621564485,334.8573468969373,189.39941802796343,1.7679956484739467,0.750944514788757,1.1707920792079207,True,True,True
Clone2,mobilenet_v2,64,slow,0.13993949,0.17414078000000002,40.74979625101874,35.137034434293746,233.44095590702528,124.70466281843278,1.8719504999336722,0.8035997656608634,1.1597392013039933,True,True,True
Clone2,mobilenet_v2,128,fast,0.11065115,0.17762178,62.03473945409429,34.91620111731844,402.33487382749536,129.62652975790238,3.1038003916244463,0.6229593577994771,1.7766749379652604,True,True,True
Clone2,mobilenet_v2,128,medium,0.10958155,0.14055307,58.5480093676815,51.22950819672131,368.7037964816725,200.3696587920104,1.8401179036013526,0.7796453681161144,1.1428571428571428,True,True,True
Clone2,mobilenet_v2,128,slow,0.13956833,0.17622220000000002,40.74979625101874,34.91620111731844,243.4389403833952,128.7552960904231,1.8907101127120343,0.7920019725097064,1.1670741646291767,True,True,True
Clone2,resnet50,1,fast,0.44611674,0.47246412,12.690355329949238,15.360983102918587,19.510601152818328,23.552570401541967,0.8283852174173306,0.9442341145397454,0.8261421319796954,False,True,False
Clone2,resnet50,1,medium,0.32387921,0.38666728,19.252984212552946,22.172949002217294,28.51130325248686,34.35378512213413,0.8299319318416836,0.8376173179173577,0.8683095879861379,False,True,False
Clone2,resnet50,1,slow,0.40614994,0.46887125,13.993842709207948,15.532774153463809,20.621778544784394,24.073020449575463,0.8566344463495883,0.8662291407289314,0.9009235936188077,False,True,False
Clone2,resnet50,4,fast,0.17305977,0.38645476,47.080979284369114,19.23076923076923,126.5049900716883,33.31062117389975,3.797737346633758,0.4478137880873818,2.448210922787194,True,True,True
Clone2,resnet50,4,medium,0.19347456,0.31104438,37.70739064856712,31.625553447185325,85.75047587560262,55.26553919270605,1.5516084187037114,0.6220159322602131,1.1923076923076923,True,True,True
Clone2,resnet50,4,slow,0.22637609,0.38571385999999996,27.855153203342617,19.252984212552946,65.67764598170771,33.245460451867274,1.9755372640061855,0.5869016218395678,1.4467966573816156,True,True,True
Clone2,resnet50,8,fast,0.20327351999999999,0.33579528999999997,31.446540880503143,21.691973969631235,90.54933373857529,39.616664233478616,2.285637508623336,0.6053495270883639,1.449685534591195,True,True,True
Clone2,resnet50,8,medium,0.17389691999999998,0.2963436,41.32231404958678,29.7441998810232,104.32955275448202,64.27023599958483,1.6232950001172544,0.5868084210355816,1.3892561983471077,True,True,True
Clone2,resnet50,8,slow,0.20857942,0.33081875,30.13863773357444,22.036139268400177,80.66971692005158,39.44261964772329,2.0452423708299,0.630494553286354,1.367691380349608,True,True,True
Clone2,resnet50,16,fast,0.18732259999999998,0.31636864000000003,34.059945504087196,23.11604253351826,103.52074016500563,43.47655017608666,2.3810707092842196,0.5921023019222131,1.4734332425068122,True,True,True
Clone2,resnet50,16,medium,0.15532909,0.27443037000000003,48.216007714561236,32.91639236339697,141.24071373511472,70.63933844989415,1.9994625775735355,0.5660054679808214,1.4648023143683704,True,True,True
Clone2,resnet50,16,slow,0.19271027999999998,0.320036,32.72251308900523,22.81021897810219,96.96635207084788,42.37218939804988,2.2884432796222374,0.6021518829131722,1.4345549738219894,True,True,True
Clone2,resnet50,32,fast,0.19894875,0.2561828,30.921459492888065,38.431975403535745,109.83229544660448,78.67349478855921,1.3960520724519334,0.7765890215892715,0.8045763760049474,True,True,False
Clone2,resnet50,32,medium,0.14831585,0.2554838,50.25125628140704,37.56574004507889,154.212357728773,75.87146327353378,2.032547562352957,0.5805293721167448,1.3376884422110553,True,True,True
Clone2,resnet50,32,slow,0.18786367999999998,0.31234273,33.715441672285905,23.353573096683792,105.9380281585009,44.58062318902165,2.3763245235340054,0.6014664724227773,1.4436952124072824,True,True,True
Clone2,resnet50,64,fast,0.1883742,0.30786705999999997,33.7609723160027,23.452157598499063,111.78903953056847,47.127018381394784,2.3720796131397424,0.6118686422639694,1.439567859554355,True,True,True
Clone2,resnet50,64,medium,0.15258558,0.25681063,48.54368932038835,36.1794500723589,167.0038694257048,79.00471226092009,2.1138469421185877,0.5941560129345114,1.3417475728155341,True,True,True
Clone2,resnet50,64,slow,0.18808957999999998,0.30776947,33.64737550471063,23.4192037470726,109.60262073512293,46.80234496143184,2.341819001279585,0.611137875371459,1.436742934051144,True,True,True
Clone2,resnet50,128,fast,0.15428276,0.31795924,52.19206680584551,22.779043280182233,190.7385532683088,47.10246646592525,4.049438757231374,0.4852281065963046,2.291231732776618,True,True,True
Clone2,resnet50,128,medium,0.14978467,0.26119361,50.70993914807302,36.101083032490976,181.46280974294567,80.29956071577622,2.2598231936192175,0.5734622297995728,1.4046653144016226,True,True,True
Clone2,resnet50,128,slow,0.18813502000000001,0.31795159999999995,33.78378378378378,22.79981760145919,117.24710764884809,46.95158863692256,2.497191491336363,0.5917096186966823,1.4817567567567567,True,True,True
Clone3,mobilenet_v2,1,fast,0.25565597,0.31358676,22.43158366980709,16.611295681063122,34.12327679008455,26.705728869108587,1.277751188044004,0.8152639161168667,1.350381336922387,True,True,True
Clone3,mobilenet_v2,1,medium,0.23400595000000002,0.22901430999999997,21.83406113537118,24.390243902439025,33.48606088081639,39.4560427382519,0.8486928378236035,1.0217961925610677,0.8951965065502183,False,False,False
Clone3,mobilenet_v2,1,slow,0.32470862,0.31055249,14.771048744460856,16.545334215751158,22.161941507141204,26.66501982178913,0.8311241339873947,1.045583695046206,0.8927621861152142,False,False,False
