dataset,prefix,in_cartesian_grid,in_manifest,available_kinds,missing_kinds
Clone1,resnet50_fp32_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp32_slow_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp32_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp32_slow_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS1,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS16,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS4,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
Clone1,resnet50_fp64_fast_BS8,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
