dataset,sequence_index,campaign_run_count,sequence_fraction,prefix,model,precision,profile,batch,state_running_ts,state_done_ts,state_runner_duration_s,log_wall_span_s,log_start_gpu_or_tj_temp_C,log_end_gpu_or_tj_temp_C,max_gpu_or_tj_temp_C,predecessor_prefix,predecessor_model,predecessor_precision,predecessor_profile,predecessor_batch,predecessor_state_done_ts,predecessor_state_runner_duration_s,predecessor_log_wall_span_s,predecessor_max_gpu_or_tj_temp_C,predecessor_log_end_gpu_or_tj_temp_C,state_event_gap_s,predecessor_is_fp64,predecessor_in_duration_upper_quartile,successor_start_minus_predecessor_end_temp_C,configuration_id,adjusted_residual__forward_throughput,adjusted_residual__logged_energy_per_evaluated_image,adjusted_residual__logged_window_throughput,adjusted_residual__average_input_power,adjusted_residual__logged_duration,adjusted_residual__start_temperature,adjusted_residual__maximum_temperature
Clone1,36,126,0.28,resnet50_fp64_medium_BS16,resnet50,fp64,medium,16,1783132587.4435036,1783154086.3048413,21498.765,21494.0,38.625,40.843,41.687,resnet50_fp32_fast_BS8,resnet50,fp32,fast,8.0,1783132587.4426377,1409.975,1407.0,40.718,38.968,0.000865936279296875,False,False,-0.3430000000000035,resnet50|fp64|B16|medium,-0.00013349855641831,-0.0029065127534831925,0.0023052881334031383,-0.0006012246200797211,-0.0023052881334031383,-1.0469722222222302,-0.13911904761905447
Clone1,37,126,0.288,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,slow,32,1783154086.3061717,1783159470.5184205,5384.174,5381.0,40.781,39.531,40.937,resnet50_fp64_medium_BS16,resnet50,fp64,medium,16.0,1783154086.3048413,21498.765,21494.0,41.687,40.843,0.0013303756713867188,True,True,-0.06200000000000472,mobilenet_v2|fp64|B32|slow,-0.002585055835341965,-0.004091504721625561,-0.0022034972408850884,-0.006295001962510538,0.002203497240883756,-0.47430555555556,-0.5867857142857176
Clone1,38,126,0.296,mobilenet_v2_fp32_medium_BS8,mobilenet_v2,fp32,medium,8,1783159470.5196395,1783160529.133181,1058.609,1056.0,39.218,41.281,42.125,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,slow,32.0,1783159470.5184205,5384.174,5381.0,40.937,39.531,0.001219034194946289,True,True,-0.3129999999999953,mobilenet_v2|fp32|B8|medium,0.05588348481107275,-0.03554620944020315,0.05477555211946772,0.01922934267926446,-0.054775552119469495,-0.016305555555554463,0.8512142857142777
Clone1,39,126,0.304,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,slow,128,1783160529.1336389,1783161960.89858,1431.752,1428.0,41.156,39.968,42.625,mobilenet_v2_fp32_medium_BS8,mobilenet_v2,fp32,medium,8.0,1783160529.133181,1058.609,1056.0,42.125,41.281,0.000457763671875,False,False,-0.125,mobilenet_v2|fp32|B128|slow,-0.003405817981032122,-0.0022602756688706593,1.8836322310811227e-05,-0.002241439346559737,-1.8836322311699405e-05,1.5570277777777761,1.2468809523809483
Clone1,40,126,0.312,resnet50_fp32_medium_BS8,resnet50,fp32,medium,8,1783161960.8997874,1783163512.8881764,1551.982,1549.0,39.937,42.843,45.187,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,slow,128.0,1783161960.89858,1431.752,1428.0,42.625,39.968,0.0012073516845703125,False,False,-0.03100000000000591,resnet50|fp32|B8|medium,0.013431258973039206,-0.014764344999704693,0.047244919934422924,0.03248057493471879,-0.0472449199344247,0.24436111111110392,1.1942142857142812
Clone1,41,126,0.32,resnet50_fp64_medium_BS64,resnet50,fp64,medium,64,1783163512.888485,1783187485.5130095,23972.524,23968.0,42.312,40.781,43.031,resnet50_fp32_medium_BS8,resnet50,fp32,medium,8.0,1783163512.8881764,1551.982,1549.0,45.187,42.843,0.0003085136413574219,False,False,-0.5310000000000059,resnet50|fp64|B64|medium,-0.00020232671576092542,0.006422235332762205,-0.004210040620755251,0.002212194712007065,0.004210040620754363,1.0776944444444396,-0.14911904761905248
Clone1,42,126,0.328,mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,1783187485.5140371,1783193116.7496626,5631.2,5628.0,40.593,38.25,40.781,resnet50_fp64_medium_BS64,resnet50,fp64,medium,64.0,1783187485.5130095,23972.524,23968.0,43.031,40.781,0.0010275840759277344,True,True,-0.18799999999999528,mobilenet_v2|fp64|B16|slow,-0.002860176160333072,-0.0037375520694178377,-0.003324197153989683,-0.007061749223407077,0.003324197153989239,0.8276944444444396,0.6008809523809475
Clone1,43,126,0.336,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,fast,32,1783193116.7505262,1783194326.8419535,1210.082,1207.0,38.375,38.593,39.281,mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16.0,1783193116.7496626,5631.2,5628.0,40.781,38.25,0.0008635520935058594,True,True,0.125,,,,,,,,
Clone1,44,126,0.344,mobilenet_v2_fp64_slow_BS128,mobilenet_v2,fp64,slow,128,1783194326.8428874,1783200821.5994306,6494.708,6490.0,38.375,37.562,38.875,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,fast,32.0,1783194326.8419535,1210.082,1207.0,39.281,38.593,0.0009338855743408203,False,False,-0.21800000000000352,mobilenet_v2|fp64|B128|slow,0.005208002922822086,-0.013750839448550267,0.007026234467393255,-0.006724604981156901,-0.007026234467392811,-0.734305555555558,-0.6907857142857168
Clone1,45,126,0.352,resnet50_fp64_fast_BS1,resnet50,fp64,fast,1,1783200821.6006126,1783251412.861994,50590.937,50585.0,37.5,38.125,38.468,mobilenet_v2_fp64_slow_BS128,mobilenet_v2,fp64,slow,128.0,1783200821.5994306,6494.708,6490.0,38.875,37.562,0.0011820793151855469,True,True,-0.06199999999999761,,,,,,,,
Clone1,46,126,0.36,resnet50_fp64_fast_BS64,resnet50,fp64,fast,64,1783251412.863171,1783298364.1364756,46950.98,46945.0,37.656,36.75,39.593,resnet50_fp64_fast_BS1,resnet50,fp64,fast,1.0,1783251412.861994,50590.937,50585.0,38.468,38.125,0.001177072525024414,True,True,-0.4690000000000012,,,,,,,,
Clone1,47,126,0.368,resnet50_fp64_medium_BS1,resnet50,fp64,medium,1,1783298364.1377528,1783324442.1367877,26077.87,26074.0,36.531,39.125,40.093,resnet50_fp64_fast_BS64,resnet50,fp64,fast,64.0,1783298364.1364756,46950.98,46945.0,39.593,36.75,0.0012772083282470703,True,True,-0.2190000000000012,resnet50|fp64|B1|medium,-0.0005842018035817631,0.0015843325841781164,-0.004786403495314673,-0.0032020709111364454,0.004786403495315561,-2.8699722222222306,-0.5557857142857188
Clone1,48,126,0.376,resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,1783324442.137773,1783327064.370411,2622.216,2619.0,39.062,39.5,40.0,resnet50_fp64_medium_BS1,resnet50,fp64,medium,1.0,1783324442.1367877,26077.87,26074.0,40.093,39.125,0.0009853839874267578,True,True,-0.06300000000000239,resnet50|fp16|B1|medium,-0.019917552425554597,0.014393253295644892,-0.02199500135879262,-0.0076017480631473955,0.021995001358791733,-0.6409722222222314,-0.4407857142857168
Clone1,49,126,0.384,mobilenet_v2_fp64_medium_BS64,mobilenet_v2,fp64,medium,64,1783327064.371619,1783330239.008859,3174.62,3172.0,39.375,40.062,41.531,resnet50_fp16_medium_BS1,resnet50,fp16,medium,1.0,1783327064.370411,2622.216,2619.0,40.0,39.5,0.0012080669403076172,False,False,-0.125,mobilenet_v2|fp64|B64|medium,-0.0007084490014959144,0.005091433426383518,-0.009050981935462055,-0.003959548509077981,0.009050981935460278,0.297027777777771,0.3612142857142828
Clone1,50,126,0.392,mobilenet_v2_fp16_slow_BS4,mobilenet_v2,fp16,slow,4,1783330239.009591,1783331833.3544078,1594.334,1591.0,39.875,38.843,40.031,mobilenet_v2_fp64_medium_BS64,mobilenet_v2,fp64,medium,64.0,1783330239.008859,3174.62,3172.0,41.531,40.062,0.0007321834564208984,True,False,-0.1869999999999976,mobilenet_v2|fp16|B4|slow,0.012519699850608745,-0.004384862132662648,-0.0016630561723083304,-0.006047918304970867,0.0016630561723074422,-0.2553055555555588,-0.3574523809523882
