model,precision,profile,batch,throughput_img_s_mean,throughput_img_s_std,throughput_img_s_min,throughput_img_s_max,latency_avg_ms_mean,latency_avg_ms_std,latency_avg_ms_min,latency_avg_ms_max,avg_power_W_mean,avg_power_W_std,avg_power_W_min,avg_power_W_max,energy_per_img_J_avg_power_times_meta_duration_mean,energy_per_img_J_avg_power_times_meta_duration_std,energy_per_img_J_avg_power_times_meta_duration_min,energy_per_img_J_avg_power_times_meta_duration_max,energy_per_img_J_integrated_log_timestamps_mean,energy_per_img_J_integrated_log_timestamps_std,energy_per_img_J_integrated_log_timestamps_min,energy_per_img_J_integrated_log_timestamps_max,energy_per_img_J_power_over_throughput_proxy_mean,energy_per_img_J_power_over_throughput_proxy_std,energy_per_img_J_power_over_throughput_proxy_min,energy_per_img_J_power_over_throughput_proxy_max
resnet50,fp16,fast,1,24.00439983623477,6.896576331588034,19.510601152818328,31.944900423386315,43.73388894157025,10.843535821102718,31.30390099034139,51.254187001590616,5.866479641555273,0.6557364472171775,5.337988998589563,6.600313632441761,0.3761275639601976,0.06759032731693217,0.30660223880979914,0.4416005540956583,0.37931832000000004,0.06852891274322977,0.30918098,0.44611674,0.2521437971173295,0.042274670122435694,0.20661556445515744,0.29015693823543404
resnet50,fp16,fast,4,110.85056883396993,26.84493183373082,79.85323333539316,126.5049900716883,37.802853913094346,10.642695711914525,31.6193060663715,50.09189775947481,7.25043461256742,1.1109351274784116,6.006800615384615,8.144662547528517,0.17540789170450122,0.017441514481442832,0.16098892552356134,0.19479425814462448,0.17808627333333335,0.017393419118541146,0.16375964,0.19743940999999998,0.0666096241782416,0.00774376830900315,0.06022371748847135,0.07522301057184914
resnet50,fp16,fast,8,131.18847918077458,35.196618625197544,90.54933373857529,151.89126978171885,64.65175084724402,20.52339866415975,52.669254865646366,88.34962853616103,7.223011186587928,0.7197664753381913,6.3922601781170485,7.659678719008264,0.16536297965854588,0.02957037941675086,0.14735977630259134,0.1994906801292867,0.16858169666666667,0.030080696854322266,0.14975039999999998,0.20327351999999999,0.05714186323828039,0.011650095621522343,0.05040266685439747,0.07059422653039198
resnet50,fp16,fast,16,147.99129218078974,38.51412732505706,103.52074016500563,170.5664301743279,114.18130210871497,34.96809633078314,93.80509390767664,154.55840032149106,7.137653800671195,0.6573008913042286,6.378668272539573,7.517579894179893,0.15528542441537155,0.02497829107675726,0.1403766474662075,0.18412231280285588,0.1584506866666667,0.02500937722471581,0.14348708000000002,0.18732260000000003,0.049978983383999476,0.010079439581878919,0.04407420549575042,0.06161729777407283
resnet50,fp16,fast,32,156.92830582435013,40.79079931411434,109.83229544660448,181.0793562509989,215.25592512088534,65.82419451730637,176.66156948012284,291.26008106881227,7.028622611319556,0.7584069813163316,6.152986866791744,7.477740106951871,0.15557252007811687,0.032590397157728476,0.1360859316230519,0.19319660768901045,0.16009497333333333,0.033653902288041326,0.14005721000000002,0.19894875,0.046254832635251264,0.008460699835899328,0.04117057302700638,0.056021654120695756
resnet50,fp16,fast,64,135.45752163275245,41.06173134873996,111.71202129088259,182.87150407680627,497.98229818584383,128.47106713407146,349.6368624986914,572.3521800697162,6.6295943691889505,0.7959962057219747,6.004411483253589,7.5256836518046715,0.16353353728992015,0.02285376130110799,0.13779269914329556,0.18143896820432856,0.16974371333333335,0.023619358906541765,0.14317875,0.18837420000000002,0.05059433615091147,0.008325189830980732,0.041152850411531994,0.05688113968248042
resnet50,fp16,fast,128,166.59401439587393,41.81965203567205,118.30483967548292,190.7386502438301,807.258911005208,236.99138328200604,670.4317016409153,1080.9129888721131,7.287987626592578,0.9186461121836536,6.266994539249147,8.047663856691255,0.15308013612344715,0.02001614050620806,0.13738465281489348,0.17562089426677238,0.16210031,0.020937214663987666,0.14619668,0.18582148999999998,0.04491490134408701,0.007099979126563596,0.039579311661200836,0.05297327274556036
resnet50,fp16,medium,1,28.754570922347607,0.649392594677303,28.261935783112662,29.4904737314433,34.788781500559026,0.777250309250972,33.90925520920951,35.383280454466586,5.953123221932764,0.24927050235574882,5.762513325608342,6.235207943925233,0.30359049490825707,0.016296949843752098,0.2896176618502493,0.32149297879045896,0.30581381,0.016447022216510808,0.29170809000000003,0.32387921000000003,0.20711774934287122,0.010347299877251881,0.19876413141559401,0.2186924914904188
resnet50,fp16,medium,4,85.93367844074048,0.17220470961369744,85.75047587560262,86.09222804000458,46.54764913732177,0.09331752822250713,46.46180138515309,46.646971450079896,6.909376381632594,0.3333265739921436,6.695410852713177,7.293434351145038,0.17827032131629986,0.00956124805228671,0.1722396207305032,0.1892944450577801,0.18130243,0.010555974763275053,0.17466135000000002,0.19347456,0.0804087073846797,0.004035449878920808,0.07777021230768952,0.08505415598772365
resnet50,fp16,medium,8,106.09301569763863,2.0078799347590786,104.32955275448202,108.27829259170639,75.4234388689169,1.4195326321458814,73.88369181407616,76.68009484164416,6.993637733324707,0.16408091056033308,6.890508535489668,7.182846153846155,0.15951610139740904,0.010373538148311181,0.15236744490029064,0.17141406024980468,0.16211224,0.010283127366190685,0.15496145,0.17389691999999998,0.0659510341109323,0.0026537291335560005,0.06363702613479748,0.06884766553873277
