metric,numerator,denominator,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm_within_metric
energy_per_img_J_avg_power_times_meta_duration,MasterJetson,Clone1,72,1.197953081204649,1.1622792187018403,1.2347218823808779,1.195397451902977,19.539745190297708,1.000979336273244,0.8517972846508202,1.0535589469264804e-10,0.875951293759513,5.267794734632402e-10
energy_per_img_J_avg_power_times_meta_duration,MasterJetson,Clone2,72,1.1103234150843047,1.0736829136464607,1.148214310217115,1.1176781703895577,11.767817038955775,1.000979336273244,0.8695600301034957,4.512496984181219e-09,0.7952815829528158,1.8049987936724878e-08
energy_per_img_J_avg_power_times_meta_duration,MasterJetson,Clone3,72,1.2024275998929084,1.1674723882121925,1.2384294031983862,1.1868085700899442,18.680857008994423,1.000979336273244,0.8106921217012882,3.1756493245665793e-12,0.9452054794520548,1.9053895947399477e-11
energy_per_img_J_avg_power_times_meta_duration,Clone1,Clone2,72,0.9268505023316732,0.8965056058951082,0.958222511966071,0.9308523144213243,-6.914768557867568,0.8517972846508202,0.8695600301034957,2.7669691816318024e-08,-0.7534246575342466,5.533938363263605e-08
energy_per_img_J_avg_power_times_meta_duration,Clone1,Clone3,72,1.00373513684172,0.9802016610484439,1.027833623392395,0.991170387285021,-0.8829612714978952,0.8517972846508202,0.8106921217012882,0.007188114284878714,-0.3645357686453577,0.007188114284878714
energy_per_img_J_avg_power_times_meta_duration,Clone2,Clone3,72,1.082952573599117,1.0458463362633865,1.1213753263745199,1.0659357921615311,6.593579216153122,0.8695600301034957,0.8106921217012882,6.9857139387007e-09,0.7853881278538812,2.09571418161021e-08
energy_per_img_J_integrated_log_timestamps,MasterJetson,Clone1,72,1.1976755168278979,1.162145336832777,1.2342919582831613,1.1954205466365195,19.542054663651964,1.009756670972222,0.8588464675000002,9.081157161151333e-11,0.8789954337899544,4.540578580575667e-10
energy_per_img_J_integrated_log_timestamps,MasterJetson,Clone2,72,1.1106977450827509,1.0741326351603178,1.1485075870055672,1.1177467644628598,11.77467644628598,1.009756670972222,0.8768868400000001,4.076602277189356e-09,0.7975646879756468,1.6306409108757424e-08
energy_per_img_J_integrated_log_timestamps,MasterJetson,Clone3,72,1.202246014080502,1.1674368126682597,1.2380931136383313,1.186427246955183,18.642724695518297,1.009756670972222,0.81748187375,3.1756493245665793e-12,0.9452054794520548,1.9053895947399477e-11
energy_per_img_J_integrated_log_timestamps,Clone1,Clone2,72,0.927377849406564,0.8971109421661986,0.9586659075780337,0.9307196080540974,-6.928039194590258,0.8588464675000002,0.8768868400000001,2.857270299489771e-08,-0.7526636225266362,5.714540598979542e-08
energy_per_img_J_integrated_log_timestamps,Clone1,Clone3,72,1.0038161398378664,0.9803567777359405,1.0278368707013774,0.9913543406935483,-0.8645659306451725,0.8588464675000002,0.81748187375,0.007188114284878714,-0.3645357686453577,0.007188114284878714
energy_per_img_J_integrated_log_timestamps,Clone2,Clone3,72,1.0824241062908888,1.045460059696626,1.1206950806132365,1.0658177130029913,6.581771300299144,0.8768868400000001,0.81748187375,7.222990053702508e-09,0.784627092846271,2.1668970161107523e-08
energy_per_img_J_power_over_throughput_proxy,MasterJetson,Clone1,72,1.196612178172794,1.1593425202747716,1.2350799525683522,1.1873643115386983,18.736431153869827,0.8754440000013215,0.7444490200036623,1.7651592310629347e-10,0.865296803652968,8.825796155314674e-10
energy_per_img_J_power_over_throughput_proxy,MasterJetson,Clone2,72,1.103782291523498,1.0644178346728612,1.1446025305046759,1.1032504718573692,10.325047185736924,0.8754440000013215,0.7536491538541001,6.9857139387007e-09,0.7853881278538812,2.09571418161021e-08
energy_per_img_J_power_over_throughput_proxy,MasterJetson,Clone3,72,1.1998248583940554,1.16342160448142,1.2373671636104682,1.1782990516764378,17.82990516764379,0.8754440000013215,0.70400427598174,3.5788224214052997e-12,0.9429223744292238,2.14729345284318e-11
energy_per_img_J_power_over_throughput_proxy,Clone1,Clone2,72,0.922422746197481,0.8893261512209076,0.9567510429490889,0.9284486714971073,-7.15513285028927,0.7444490200036623,0.7536491538541001,1.446338650866773e-08,-0.7686453576864536,2.892677301733546e-08
energy_per_img_J_power_over_throughput_proxy,Clone1,Clone3,72,1.0026848132418031,0.9783462859132283,1.0276288152586894,0.9913524807402649,-0.8647519259735115,0.7444490200036623,0.70400427598174,0.0004248540797841756,-0.4779299847792998,0.0004248540797841756
energy_per_img_J_power_over_throughput_proxy,Clone2,Clone3,72,1.0870122374748323,1.0465906584467874,1.128994984699759,1.0671426379079367,6.714263790793673,0.7536491538541001,0.70400427598174,1.6137190772442703e-09,0.8181126331811264,6.454876308977081e-09
