factor,numerator,denominator,metric,group,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm
precision,fp32,fp16,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2,63,1.5844751597023259,1.467423889069366,1.7108632007523734,1.7606463145458142,76.06463145458142,0.0650908888198648,0.05046294344681382,1.5595338934741763e-08,0.8194444444444444,1.1696504201056324e-06
precision,fp32,fp16,energy_per_img_J_power_over_throughput_proxy,model=resnet50,63,2.321706256778498,2.13765278333528,2.52160686935984,2.6417508278681905,164.17508278681905,0.16645913412113014,0.08386156986260525,5.690890720152127e-12,0.998015873015873,4.961659021086969e-10
precision,fp64,fp32,throughput_img_s,model=mobilenet_v2,63,0.13593535133863352,0.11543893186652035,0.16007095218902365,0.11381902640651488,-88.61809735934851,16.358166017542196,129.1202577711694,5.1683948136322595e-12,-1.0,4.961659021086969e-10
precision,fp64,fp32,throughput_img_s,model=resnet50,63,0.03301840026466686,0.03025621644698826,0.036032752408018745,0.030095256622173088,-96.9904743377827,1.7365620274306244,52.655132541663335,5.1683948136322595e-12,-1.0,4.961659021086969e-10
precision,fp64,fp32,latency_avg_ms,model=mobilenet_v2,63,7.356438116740241,6.24722965862742,8.662588814978639,8.785877296370558,778.5877296370558,2440.21656878352,240.95644456155037,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,latency_avg_ms,model=resnet50,63,30.286143240867563,27.7525288292287,33.05105916835617,33.22782764587681,3222.782764587681,22573.58867645001,640.5797658252874,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,avg_power_W,model=mobilenet_v2,63,0.9239679307188049,0.8957636351615914,0.9530602755969032,0.8926840598647966,-10.73159401352034,5.824053840808617,6.299989038069266,9.752775142996223e-06,-0.6408730158730159,0.0005754137334367771
precision,fp64,fp32,avg_power_W,model=resnet50,63,0.7327738908650568,0.707882297193883,0.7585407591941039,0.7247150910323068,-27.52849089676932,5.84926873050204,7.977424153830058,5.9712130844944176e-12,-0.9970238095238095,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2,63,2.9723633745149973,2.769622641670041,3.1899450478318023,2.978595159729128,197.8595159729128,0.4922240029986971,0.16748099733744135,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_avg_power_times_meta_duration,model=resnet50,63,12.343188383564401,11.595977260068544,13.138547623476333,12.640699805283475,1164.0699805283475,3.761013380365683,0.30181406763185176,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2,63,2.9960078179299154,2.789245582700207,3.2180970011280423,3.0337143716117954,203.37143716117953,0.5077438344444445,0.17105729095238095,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_integrated_log_timestamps,model=resnet50,63,12.413302014075946,11.640954380797844,13.236892942973713,13.079731377325912,1207.973137732591,3.893860079682539,0.30975983000000007,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2,63,6.797112904185424,5.9264357934451235,7.795704778130539,8.074925738278424,707.4925738278423,0.38801193200346645,0.0650908888198648,5.1683948136322595e-12,1.0,4.961659021086969e-10
precision,fp64,fp32,energy_per_img_J_power_over_throughput_proxy,model=resnet50,63,22.19289502190696,20.556240455663655,23.959857373515124,24.419652484489326,2341.9652484489325,3.648458127273684,0.16645913412113014,5.1683948136322595e-12,1.0,4.961659021086969e-10
profile,fast,slow,throughput_img_s,model=mobilenet_v2|precision=fp16,21,1.3551349105933699,1.22339989361954,1.5010550805883853,1.5093416208900832,50.93416208900832,225.82274410623708,165.56264431851508,9.5367431640625e-07,1.0,6.961822509765625e-05
profile,fast,slow,throughput_img_s,model=mobilenet_v2|precision=fp32,21,1.428329375398769,1.2715710316508764,1.6044127727401516,1.6414390559935257,64.14390559935256,148.70721518261763,100.09533856888186,9.5367431640625e-07,1.0,6.961822509765625e-05
profile,fast,slow,throughput_img_s,model=mobilenet_v2|precision=fp64,21,1.4274700996580212,1.2135364624471108,1.6791179733559,1.9652024387981317,96.52024387981317,16.57261699063552,10.89468972891525,4.100799560546875e-05,0.9134199134199135,0.0022554397583007812
profile,fast,slow,throughput_img_s,model=resnet50|precision=fp16,21,1.4040692279815679,1.2439083699430191,1.5848517821735228,1.626808175426942,62.680817542694186,124.71636884067794,85.17530049984114,4.76837158203125e-06,0.974025974025974,0.00030994415283203125
profile,fast,slow,throughput_img_s,model=resnet50|precision=fp32,21,1.2799562999773817,1.1271923584221462,1.4534237369609915,1.0287498061084548,2.874980610845479,52.52593072781266,39.562286802026364,1.811981201171875e-05,0.9393939393939394,0.0010328292846679688
profile,fast,slow,throughput_img_s,model=resnet50|precision=fp64,21,1.474986879194921,1.2620239611892021,1.7238866778306827,1.9816663693905612,98.16663693905612,1.7922372381189224,1.1457567722144257,6.67572021484375e-06,0.9653679653679653,0.000400543212890625
profile,fast,slow,latency_avg_ms,model=mobilenet_v2|precision=fp16,21,0.7379339076742789,0.6661980715644483,0.8173942185342267,0.6625405316857849,-33.74594683142151,129.40916339478684,167.29682895711065,9.5367431640625e-07,-1.0,6.961822509765625e-05
profile,fast,slow,latency_avg_ms,model=mobilenet_v2|precision=fp32,21,0.7001186261542891,0.6232810016166324,0.7864287366642062,0.6092215220227732,-39.077847797722676,226.75180302918338,296.47225305778784,9.5367431640625e-07,-1.0,6.961822509765625e-05
profile,fast,slow,latency_avg_ms,model=mobilenet_v2|precision=fp64,21,0.7005400675219535,0.5955507688369216,0.8240378686137605,0.5088534291722001,-49.11465708277999,2352.8858785035786,3316.2928747647247,0.00013065338134765625,-0.8701298701298701,0.0065326690673828125
profile,fast,slow,latency_avg_ms,model=resnet50|precision=fp16,21,0.7122155945526695,0.6309738306433702,0.8039177355529876,0.6147006236537743,-38.52993763462257,254.40956144608012,335.8271721173051,2.86102294921875e-06,-0.9826839826839827,0.0001888275146484375
profile,fast,slow,latency_avg_ms,model=resnet50|precision=fp32,21,0.7812766732877295,0.6880305960125097,0.8871600242214281,0.9720536461462781,-2.7946353853721906,661.9015823628125,793.0667682995261,4.76837158203125e-06,-0.974025974025974,0.00030994415283203125
profile,fast,slow,latency_avg_ms,model=resnet50|precision=fp64,21,0.6779721325696275,0.5800845338966175,0.7923779823147751,0.504625811613051,-49.537418838694904,21770.115496397142,30491.561776325543,4.76837158203125e-06,-0.974025974025974,0.00030994415283203125
profile,fast,slow,avg_power_W,model=mobilenet_v2|precision=fp16,21,1.119281722036496,1.0729172102008262,1.1676498068760488,1.1956206992468434,19.562069924684344,5.9762485942487515,5.324052666107134,9.5367431640625e-07,1.0,6.961822509765625e-05
profile,fast,slow,avg_power_W,model=mobilenet_v2|precision=fp32,21,1.151727098025889,1.0972067193743111,1.2089566030761878,1.2363936164483116,23.63936164483116,6.654177401630274,5.74073234005785,9.5367431640625e-07,1.0,6.961822509765625e-05
profile,fast,slow,avg_power_W,model=mobilenet_v2|precision=fp64,21,1.12232231013998,1.0651183881746653,1.18259846212643,1.238372587596229,23.837258759622905,5.8596618578853885,5.189988008413773,0.005541801452636719,0.670995670995671,0.14453125
