prefix,model,precision,profile,batch,metric,n_devices,mean,sd,cv,min,max,max_to_min_ratio
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,throughput_img_s,4,10.243685053092323,0.006335770472061972,0.0006185050047150127,10.240459787675682,10.25318825960279,1.001242959026354
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,latency_avg_ms,4,780.9691778309726,0.4827348557047111,0.0006181228010117331,780.2451098571676,781.2149225592333,1.0012429590263543
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,avg_power_W,4,5.426783687089188,0.5506732978840788,0.10147323527823317,5.036940836450187,6.215653085577907,1.2340135188005155
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,energy_per_img_J_avg_power_times_meta_duration,4,0.6396467683811913,0.06311738447953745,0.09867537459662934,0.593424003330665,0.7297634147675754,1.2297504156752823
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,energy_per_img_J_integrated_log_timestamps,4,0.645805025,0.06380167299124821,0.09879401757712897,0.59907458,0.7369315700000001,1.230116574133391
mobilenet_v2_fp64_slow_BS8,mobilenet_v2,fp64,slow,8,energy_per_img_J_power_over_throughput_proxy,4,0.5297450764540523,0.05341623197736781,0.10083384320420559,0.49185980222649145,0.6062166155738471,1.2324987991084027
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,throughput_img_s,4,26.309560626734804,7.27760779000777,0.2766145696333877,19.510601152818328,33.225042998234905,1.7029225669674206
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,latency_avg_ms,4,40.32486144544503,11.174705959429513,0.2771170329883867,30.097778957069387,51.254187001590616,1.7029225669674206
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,avg_power_W,4,6.322728603715475,1.0579757341396738,0.16732898095894347,5.337988998589563,7.69147549019608,1.4408938445224164
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,energy_per_img_J_avg_power_times_meta_duration,4,0.3685358573991451,0.05723784527661625,0.15531146868735882,0.30660223880979914,0.4416005540956583,1.4403044015918143
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,energy_per_img_J_integrated_log_timestamps,4,0.37160185000000007,0.0580429458093149,0.1561966007685777,0.30918098,0.44611674,1.4428983956257595
resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,energy_per_img_J_power_over_throughput_proxy,4,0.24698193012740677,0.03602792397470497,0.14587271204869037,0.20661556445515744,0.29015693823543404,1.4043324325569282
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,throughput_img_s,4,137.6806262853556,37.60493753799113,0.27313165659234784,103.52074016500563,170.5664301743279,1.6476546622682142
